player_id,player_name,team,conference,qb_profile,cluster,passing_att,passing_pct,passing_yds,passing_td,rushing_car,rushing_yds,rushing_td,rushing_ypc,usage.pass,usage.rush,usage.passingDowns,usage.thirdDown,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.passingDowns
4429068,Ethan Garbers,UCLA,Big Ten,High-Volume Dual-Threat,2,363,0.647,2727.0,16.0,83.0,137.0,1.0,1.7,0.9602,0.1922,0.79,0.841,0.358,0.363,0.317,0.572
4429582,Joe Fagnano,UConn,FBS Independents,Situational Pocket QBs,1,207,0.58,1631.0,20.0,30.0,60.0,1.0,2.0,0.5668,0.0574,0.321,0.315,0.554,0.619,0.019,0.898
5122054,Aidan Armenta,UL Monroe,Sun Belt,Situational Scramblers,5,188,0.543,1294.0,9.0,47.0,57.0,1.0,1.2,0.8,0.0741,0.475,0.539,0.295,0.295,0.293,0.284
4571364,Hajj-Malik Williams,UNLV,Mountain West,Balanced Dual-Threat,0,252,0.595,1941.0,19.0,161.0,851.0,9.0,5.3,0.8772,0.2474,0.607,0.594,0.458,0.39,0.594,0.48
4431580,Miller Moss,USC,Big Ten,Situational Pocket QBs,1,362,0.644,2555.0,18.0,21.0,-18.0,2.0,-0.9,0.723,0.0474,0.546,0.546,0.389,0.384,0.512,0.622
5083042,Skyler Locklear,UTEP,Conference USA,Situational Scramblers,5,236,0.631,1591.0,10.0,80.0,237.0,2.0,3.0,0.6606,0.1785,0.478,0.528,0.296,0.291,0.316,0.406
4775136,Owen McCown,UTSA,American Athletic,Pro-Style Starters,4,467,0.63,3424.0,25.0,86.0,340.0,3.0,4.0,0.9675,0.1447,0.72,0.723,0.439,0.388,0.82,0.498
5079771,Isaac Wilson,Utah,Big 12,Pure Triple-Option,6,225,0.564,1510.0,10.0,59.0,47.0,0.0,0.8,1.28,0.2316,0.922,0.847,0.187,0.272,-0.277,0.266
4360480,Spencer Petras,Utah State,Mountain West,Situational Pocket QBs,1,327,0.654,2315.0,17.0,36.0,35.0,1.0,1.0,0.6941,0.0649,0.504,0.448,0.422,0.466,-0.117,0.512
5084180,Diego Pavia,Vanderbilt,SEC,Balanced Dual-Threat,0,298,0.594,2293.0,20.0,193.0,800.0,8.0,4.1,1.0436,0.4067,0.842,0.851,0.431,0.493,0.318,0.594
5044387,Anthony Colandrea,Virginia,ACC,Situational Scramblers,5,320,0.619,2125.0,13.0,128.0,277.0,2.0,2.2,0.8254,0.2558,0.691,0.615,0.152,0.174,0.073,0.189
4678010,Kyron Drones,Virginia Tech,ACC,Situational Scramblers,5,224,0.607,1562.0,10.0,98.0,337.0,6.0,3.4,0.6741,0.2102,0.471,0.557,0.371,0.39,0.324,0.434
4426499,Hank Bachmeier,Wake Forest,ACC,High-Volume Dual-Threat,2,357,0.627,2593.0,16.0,96.0,141.0,1.0,1.5,0.9161,0.1584,0.718,0.68,0.318,0.335,0.215,0.242
102597,Will Rogers,Washington,Big Ten,Situational Pocket QBs,1,311,0.707,2458.0,14.0,34.0,-79.0,0.0,-2.3,0.7326,0.0472,0.531,0.507,0.434,0.484,-0.472,0.624
4915980,John Mateer,Washington State,Pac-12,Balanced Dual-Threat,0,347,0.646,3139.0,29.0,178.0,826.0,15.0,4.6,0.9496,0.3724,0.859,0.768,0.618,0.586,0.721,0.653
4429847,Garrett Greene,West Virginia,Big 12,Balanced Dual-Threat,0,316,0.598,2300.0,15.0,133.0,751.0,6.0,5.6,0.8804,0.2485,0.647,0.627,0.436,0.391,0.562,0.627
4869991,Caden Veltkamp,Western Kentucky,Conference USA,High-Volume Dual-Threat,2,389,0.663,3108.0,25.0,113.0,150.0,7.0,1.3,0.8866,0.271,0.697,0.846,0.466,0.549,0.148,0.529
4430775,Hayden Wolff,Western Michigan,Mid-American,Situational Pocket QBs,1,312,0.667,2410.0,18.0,39.0,-101.0,0.0,-2.6,1.0,0.0417,0.676,0.627,0.432,0.481,-0.475,0.374
4702829,Braedyn Locke,Wisconsin,Big Ten,Situational Scramblers,5,296,0.554,1936.0,13.0,22.0,4.0,2.0,0.2,0.8387,0.0467,0.649,0.571,0.347,0.35,0.299,0.269
