team,playerid,name,conference,fumbles_fum,fumbles_lost,passing_att,passing_completions,passing_int,passing_pct,passing_td,passing_yds,passing_ypa,rushing_car,rushing_long,rushing_td,rushing_yds,rushing_ypc,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns
New Mexico,5105849,Devon Dampier,Mountain West,7.0,3.0,390,226.0,12.0,0.579,12.0,2768.0,7.1,156.0,85.0,19.0,1152.0,7.4,0.6987,1.0272,0.3965,0.5994,0.744,0.868,0.691,0.880,0.441,0.301,0.777,0.221,0.567,0.654,0.378,0.564
New Mexico State,5220783,Parker Awad,Conference USA,2.0,2.0,159,74.0,4.0,0.465,7.0,1079.0,6.8,60.0,25.0,1.0,109.0,1.8,0.5930,1.1419,0.2000,0.5000,0.539,0.819,0.425,0.835,0.241,0.224,0.309,0.282,0.031,0.537,0.126,0.384
North Carolina,4429463,Jacolby Criswell,ACC,5.0,4.0,320,186.0,6.0,0.581,15.0,2459.0,7.7,71.0,20.0,3.0,103.0,1.5,0.4655,0.8417,0.1312,0.3325,0.502,0.674,0.409,0.682,0.41,0.381,0.581,0.187,0.351,0.783,0.225,0.637
North Texas,4692530,Chandler Morris,American Athletic,2.0,1.0,509,322.0,12.0,0.633,31.0,3774.0,7.4,60.0,49.0,4.0,242.0,4.0,0.6217,0.9279,0.1532,0.5835,0.616,0.680,0.529,0.723,0.483,0.481,0.503,0.425,0.517,0.506,0.479,0.49
Northern Illinois,4618083,Ethan Hampton,Mid-American,5.0,3.0,245,143.0,6.0,0.584,12.0,1608.0,6.6,53.0,32.0,2.0,129.0,2.4,0.3190,0.6703,0.0784,0.2532,0.315,0.447,0.311,0.413,0.436,0.419,0.534,0.191,0.631,0.596,0.365,0.55
Northwestern,4911961,Jack Lausch,Big Ten,5.0,2.0,296,159.0,8.0,0.537,7.0,1714.0,5.8,87.0,29.0,2.0,213.0,2.4,0.5161,0.7653,0.2152,0.4623,0.517,0.614,0.477,0.617,0.123,0.073,0.343,0.001,0.168,0.343,-0.016,0.326
Notre Dame,4683423,Riley Leonard,FBS Independents,2.0,1.0,403,269.0,8.0,0.667,21.0,2861.0,7.1,184.0,50.0,17.0,906.0,4.9,0.6174,0.9475,0.3404,0.5169,0.653,0.797,0.698,0.709,0.47,0.381,0.678,0.246,0.433,0.744,0.406,0.602
Ohio,4610131,Parker Navarro,Mid-American,4.0,3.0,295,195.0,11.0,0.661,13.0,2423.0,8.2,160.0,55.0,18.0,1047.0,6.5,0.5347,0.9003,0.2943,0.5070,0.513,0.647,0.526,0.588,0.544,0.398,0.84,0.468,0.459,0.755,0.513,0.612
Ohio State,4429955,Will Howard,Big Ten,7.0,1.0,423,309.0,10.0,0.73,35.0,4010.0,9.5,105.0,19.0,7.0,226.0,2.2,0.5733,0.9872,0.1977,0.5022,0.545,0.766,0.595,0.685,0.691,0.755,0.468,0.502,0.724,0.762,0.636,0.809
Oklahoma,4870607,Jackson Arnold,SEC,9.0,5.0,246,154.0,3.0,0.626,12.0,1421.0,5.8,150.0,47.0,3.0,444.0,3.0,0.4694,0.7195,0.2548,0.4055,0.473,0.590,0.422,0.582,0.204,0.142,0.357,-0.06,0.173,0.504,0.127,0.322
Oklahoma State,4362159,Alan Bowman,Big 12,2.0,1.0,340,204.0,12.0,0.6,17.0,2442.0,7.2,24.0,12.0,0.0,-38.0,-1.6,0.4575,0.7709,0.0465,0.4017,0.467,0.553,0.342,0.612,0.481,0.51,-0.155,0.406,0.43,0.54,0.515,0.433
Old Dominion,5125715,Colton Joseph,Sun Belt,10.0,5.0,222,133.0,5.0,0.599,11.0,1623.0,7.3,114.0,39.0,11.0,647.0,5.7,0.4493,0.6886,0.2652,0.3886,0.485,0.523,0.401,0.561,0.483,0.465,0.522,0.338,0.361,0.818,0.372,0.644
Ole Miss,4689114,Jaxson Dart,SEC,2.0,0.0,398,276.0,6.0,0.693,29.0,4279.0,10.8,124.0,35.0,3.0,495.0,4.0,0.5963,0.9825,0.2208,0.5797,0.613,0.651,0.453,0.745,0.7,0.77,0.396,0.496,0.862,0.774,0.533,1.016
Oregon,4427238,Dillon Gabriel,Big Ten,3.0,2.0,447,326.0,6.0,0.729,30.0,3857.0,8.6,75.0,54.0,7.0,149.0,2.0,0.5732,1.0063,0.1432,0.4828,0.543,0.836,0.487,0.796,0.606,0.627,0.458,0.217,0.672,1.051,0.326,1.058
Oregon State,4887446,Gevani McCoy,Pac-12,2.0,0.0,202,123.0,6.0,0.609,3.0,1300.0,6.4,59.0,71.0,5.0,328.0,5.6,0.3198,0.5714,0.1062,0.2720,0.316,0.402,0.278,0.424,0.283,0.115,1.055,-0.01,0.093,0.771,0.242,0.355
Penn State,4714771,Drew Allar,Big Ten,3.0,2.0,394,262.0,8.0,0.665,24.0,3327.0,8.4,96.0,22.0,6.0,302.0,3.1,0.4962,0.9559,0.1448,0.4187,0.500,0.653,0.450,0.662,0.52,0.524,0.498,0.371,0.609,0.655,0.458,0.637
Pittsburgh,4870819,Eli Holstein,ACC,5.0,1.0,290,179.0,7.0,0.617,17.0,2225.0,7.7,81.0,49.0,3.0,328.0,4.0,0.4245,0.5974,0.1769,0.3850,0.468,0.446,0.393,0.510,0.43,0.426,0.447,0.152,0.575,0.578,0.26,0.71
Purdue,4429032,Hudson Card,Big Ten,1.0,0.0,248,144.0,7.0,0.581,9.0,1641.0,6.6,46.0,23.0,0.0,-27.0,-0.6,0.4301,0.7429,0.0820,0.3311,0.469,0.575,0.393,0.582,0.225,0.233,0.151,-0.03,0.215,0.519,-0.051,0.588
