player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Christian Veilleux,145086,QB,GA STATE,10,71,14.1,0,175,1,4,21.1,18.3,87.3,5.6,0,6,10,15,13,71,62,4,10,17,6,1,14.1,23.9,1,8.5,1.4
Ethan Hampton,145858,QB,N ILLINOIS,11,68,27.9,0,254,0,4,14.7,13.2,83.8,2.9,0,8,19,10,9,68,57,2,13,9,8,3,19.1,13.2,4,11.8,4.4
Kurtis Rourke,97998,QB,INDIANA,12,66,13.6,0,190,1,4,13.6,18.2,75.8,16.7,0,6,9,9,12,66,50,11,10,15,6,1,15.2,22.7,1,9.1,1.5
DeShawn Purdie,184271,QB,CHARLOTTE,9,65,12.3,0,136,1,5,20.0,18.5,75.4,7.7,0,11,8,13,12,65,49,5,10,9,11,4,15.4,13.8,5,16.9,6.2
Jalon Daniels,122555,QB,KANSAS,12,64,10.9,0,198,3,9,12.5,12.5,64.1,12.5,0,16,7,8,8,64,41,8,7,8,16,4,10.9,12.5,4,25.0,6.3
Kyron Drones,144506,QB,VA TECH,9,64,12.5,0,337,3,8,9.4,21.9,70.3,10.9,0,13,8,6,14,64,45,7,5,16,13,2,7.8,25.0,2,20.3,3.1
Ethan Crawford,173571,QB,SO MISS,8,64,6.3,0,296,0,1,21.9,26.6,78.1,9.4,0,9,4,14,17,64,50,6,7,11,8,4,10.9,17.2,8,12.5,6.3
Cooper Legas,101286,QB,TULSA,9,64,9.4,0,320,2,6,7.8,39.1,85.9,-1.6,0,10,6,5,25,64,55,-1,11,14,10,2,17.2,21.9,2,15.6,3.1
Spencer Petras,82136,QB,UTAH ST,9,63,19.0,0,329,0,6,17.5,22.2,74.6,9.5,0,10,12,11,14,63,47,6,8,10,10,0,12.7,15.9,4,15.9,0.0
Aidan Armenta,175731,QB,LA MONROE,11,62,9.7,0,209,0,6,9.7,16.1,71.0,12.9,0,10,6,6,10,62,44,8,8,16,10,7,12.9,25.8,4,16.1,11.3
Davis Warren,73940,QB,MICHIGAN,9,60,13.3,0,222,1,7,10.0,16.7,75.0,8.3,0,12,8,6,10,60,45,5,9,23,12,0,15.0,38.3,4,20.0,0.0
Davis Bryson,160369,QB,KENNESAW,11,59,16.9,0,200,0,5,18.6,23.7,81.4,5.1,0,8,10,11,14,59,48,3,5,12,8,2,8.5,20.3,3,13.6,3.4
Grayson James,145214,QB,BOSTON COL,6,58,12.1,0,121,0,9,13.8,27.6,75.9,3.4,0,11,7,8,16,58,44,2,7,9,11,3,12.1,15.5,2,19.0,5.2
Byrum Brown,156206,QB,USF,5,58,20.7,0,327,1,4,25.9,17.2,86.2,3.4,0,6,12,15,10,58,50,2,9,11,6,0,15.5,19.0,1,10.3,0.0
Tate Rodemaker,122414,QB,SO MISS,8,57,14.0,0,296,3,1,17.5,21.1,82.5,5.3,0,7,8,10,12,57,47,3,2,14,7,5,3.5,24.6,3,12.3,8.8
Ben Wooldridge,82115,QB,LA LAFAYET,11,56,12.5,0,207,1,2,14.3,32.1,83.9,8.9,0,5,7,8,18,56,47,5,8,11,5,2,14.3,19.6,2,8.9,3.6
DJ Uiagalelei,122162,QB,FLORIDA ST,5,56,10.7,0,167,2,5,17.9,17.9,73.2,12.5,0,8,6,10,10,56,41,7,6,11,8,2,10.7,19.6,1,14.3,3.6
Braedyn Locke,157141,QB,WISCONSIN,10,56,14.3,0,349,3,3,17.9,14.3,76.8,7.1,0,9,8,10,8,56,43,4,6,16,9,1,10.7,28.6,3,16.1,1.8
DJ Lagway,184426,QB,FLORIDA,12,56,12.5,0,163,1,3,23.2,17.9,85.7,0.0,0,9,7,13,10,56,48,0,7,12,9,4,12.5,21.4,5,16.1,7.1
Thomas Castellanos,158433,QB,BOSTON COL,8,55,5.5,0,121,0,4,18.2,20.0,80.0,5.5,0,11,3,10,11,55,44,3,12,7,11,3,21.8,12.7,7,20.0,5.5
Zach Gibson,100201,QB,GA STATE,6,55,12.7,0,175,0,1,7.3,30.9,92.7,0.0,0,4,7,4,17,55,51,0,8,20,4,3,14.5,36.4,3,7.3,5.5
Demond Williams Jr.,183648,QB,WASHINGTON,13,54,14.8,0,340,0,2,24.1,33.3,85.2,1.9,0,6,8,13,18,54,46,1,7,9,6,4,13.0,16.7,4,11.1,7.4
Gevani McCoy,147609,QB,OREGON ST,9,54,9.3,0,265,1,5,14.8,14.8,74.1,13.0,0,8,5,8,8,54,40,7,10,11,8,1,18.5,20.4,2,14.8,1.9
Parker Awad,183974,QB,NEW MEX ST,7,54,5.6,0,242,1,5,14.8,16.7,85.2,0.0,0,8,3,8,9,54,46,0,9,18,8,3,16.7,33.3,2,14.8,5.6
Jayden Maiava,158135,QB,USC,5,53,15.1,0,326,1,6,11.3,15.1,71.7,13.2,0,9,8,6,8,53,38,7,6,12,9,3,11.3,22.6,2,17.0,5.7
Michael Hawkins Jr.,184595,QB,OKLAHOMA,7,52,7.7,0,261,0,11,9.6,25.0,67.3,1.9,0,16,4,5,13,52,35,1,4,14,16,3,7.7,26.9,5,30.8,5.8
Braylon Braxton,144442,QB,MARSHALL,11,52,7.7,0,214,2,10,19.2,32.7,71.2,3.8,0,13,4,10,17,52,37,2,2,8,13,1,3.8,15.4,1,25.0,1.9
Katin Houser,158386,QB,E CAROLINA,9,52,9.6,0,156,1,7,23.1,21.2,71.2,7.7,0,10,5,12,11,52,37,4,7,7,10,2,13.5,13.5,2,19.2,3.8
Jake Garcia,143941,QB,E CAROLINA,6,51,5.9,0,156,4,1,17.6,13.7,80.4,3.9,0,7,3,9,7,51,41,2,9,14,7,2,17.6,27.5,2,13.7,3.9
Emmett Brown,157344,QB,S JOSE ST,8,50,20.0,0,285,1,3,22.0,20.0,74.0,12.0,0,7,10,11,10,50,37,6,3,13,7,0,6.0,26.0,3,14.0,0.0
Luke Kromenhoek,183305,QB,FLORIDA ST,6,49,14.3,0,167,2,2,18.4,20.4,77.6,4.1,0,9,7,9,10,49,38,2,7,11,9,1,14.3,22.4,5,18.4,2.0
Joe Fagnano,104768,QB,UCONN,10,49,18.4,0,146,0,0,16.3,20.4,87.8,8.2,0,1,9,8,10,49,43,4,13,6,1,3,26.5,12.2,1,2.0,6.1
Zeon Chriss,156733,QB,HOUSTON,10,47,14.9,0,182,0,8,4.3,19.1,70.2,10.6,0,11,7,2,9,47,33,5,8,9,11,3,17.0,19.1,3,23.4,6.4
