player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Gio Lopez,172309,QB,S ALABAMA,11,73,24,5,27.8,150,0,296,0,0,9,180,87.6,17,35,288,2,29,61.2,81.4,88.4,70.6,,,86.1,60.1,50,0,0,0,0,305,244,30,0,43,7,540,323,4.42,7.4,,5
Brady Cook,124199,QB,MISSOURI,12,73,9,3,16.8,63,0,172,0,0,4,45,6.9,15,27,229,5,27,64.2,80.4,70.9,75.1,,54.3,76.6,60.2,31,2,0,0,1,356,203,22,1,51,5,375,109,1.49,5.1,0.0,3
Nick Evers,158082,QB,UCONN,9,73,7,2,15.4,44,0,233,0,0,6,106,19.6,7,20,146,6,18,53.5,60.9,73.1,61.6,,60.0,57.4,60.0,23,2,0,0,2,247,53,16,1,57,3,286,134,1.84,3.9,0.0,25
Luke Altmyer,146802,QB,ILLINOIS,13,72,9,5,23.7,101,0,205,0,0,1,80,4.6,17,27,187,11,6,28.8,76.4,89.4,74.7,,,63.6,60.1,37,3,3,1,0,379,221,31,1,42,4,426,204,2.83,5.9,,11
Ethan Crawford,173571,QB,SO MISS,8,72,20,1,5.9,21,0,266,0,0,17,193,91.1,14,21,296,4,24,40.7,65.5,84.2,55.2,,,72.3,60.2,21,1,0,0,0,168,87,12,0,60,3,353,276,3.83,4.9,,21
John Busha,173849,QB,AIR FORCE,6,72,14,0,0.0,0,0,174,0,0,13,119,36.6,6,19,101,6,26,28.4,58.4,67.5,53.3,,,62.1,60.1,12,1,0,0,0,236,36,7,0,65,1,210,120,1.67,2.9,,6
Jack Lausch,162845,QB,NWESTERN,10,71,9,2,11.9,43,0,187,0,0,2,83,7.8,13,19,256,6,15,45.9,54.7,65.8,52.7,,53.8,62.1,60.1,29,2,0,0,2,216,175,25,0,46,2,362,157,2.21,5.1,0.0,16
Skyler Locklear,164027,QB,UTEP,10,70,16,2,11.0,33,0,122,0,0,9,83,43.4,18,23,330,3,14,56.3,67.9,87.0,65.7,,90.1,61.2,60.3,18,0,32,3,3,258,178,30,3,43,2,300,166,2.37,4.3,10.67,12
Keyone Jenkins,170403,QB,FIU,12,70,6,0,0.0,0,0,77,0,0,2,67,6.3,6,15,166,11,19,26.4,69.5,78.1,72.1,,,52.1,60.0,34,1,0,0,0,300,120,24,0,46,2,197,159,2.27,2.8,,3
Seth Henigan,144267,QB,MEMPHIS,13,70,7,3,17.7,51,0,147,0,0,3,55,8.9,11,23,218,3,0,71.5,81.7,90.0,79.3,,54.3,66.6,60.0,23,0,0,0,1,399,141,27,1,43,1,288,117,1.67,4.1,0.0,24
Brock Vandagriff,146713,QB,KENTUCKY,11,69,12,0,0.0,0,0,164,0,0,9,158,56.9,13,25,202,7,17,49.2,71.8,75.8,66.7,,54.3,71.7,60.9,22,2,0,0,0,269,159,19,0,50,0,323,232,3.36,4.7,,2
Cooper Legas,101286,QB,TULSA,11,69,11,1,12.2,33,0,201,0,0,8,145,32.2,6,13,320,6,38,53.5,60.5,69.6,56.3,,59.3,65.3,60.0,33,1,0,0,1,176,70,9,0,60,1,271,175,2.54,3.9,0.0,15
Billy Edwards Jr.,144185,QB,MARYLAND,11,69,14,1,5.6,15,0,129,0,0,9,94,41.8,8,18,215,3,16,82.2,75.9,88.8,71.3,,60.0,73.7,60.1,15,1,-6,0,0,250,138,24,0,45,5,267,150,2.17,3.9,,8
Owen McCown,157688,QB,UTSA,13,68,10,2,10.7,55,1,102,0,0,2,34,10.9,14,21,331,7,0,75.9,81.4,83.2,77.3,62.2,54.3,73.9,60.2,75,4,-4,0,1,379,410,43,0,25,3,512,170,2.5,7.5,-4.0,2
Hank Bachmeier,101284,QB,WAKE,12,67,13,1,5.8,20,0,5,0,0,0,22,0.0,15,21,339,7,3,52.8,73.6,89.2,72.3,,51.6,61.9,60.0,20,2,5,1,2,307,338,46,1,22,1,343,197,2.94,5.1,2.5,2
Evan Simon,129906,QB,TEMPLE,9,67,3,0,0.0,0,1,77,0,0,1,56,3.3,3,12,306,4,10,60.2,70.3,87.7,72.3,,54.3,54.3,60.0,16,3,0,0,1,244,111,26,0,41,3,188,91,1.36,2.8,0.0,9
Shedeur Sanders,131396,QB,COLORADO,13,64,10,0,0.0,0,1,21,0,0,0,22,0.0,12,25,143,7,0,65.4,91.0,81.8,90.5,62.2,60.0,67.4,60.0,17,7,0,0,1,242,284,39,0,25,4,305,233,3.64,4.8,0.0,12
Demond Williams Jr.,183648,QB,WASHINGTON,13,63,21,3,13.5,50,0,165,0,0,8,102,68.6,12,19,340,2,9,67.0,83.0,83.6,74.5,,61.3,77.2,60.0,43,0,3,1,1,131,205,29,1,35,2,370,222,3.52,5.9,3.0,22
Eli Holstein,172381,QB,PITTSBURGH,10,63,10,2,12.2,52,0,124,0,0,3,59,19.7,14,23,268,9,6,28.1,63.1,87.1,57.1,,,72.0,60.1,49,0,0,0,0,189,301,33,0,30,3,425,247,3.92,6.7,,12
Bryson Barnes,131845,QB,UTAH ST,9,63,12,9,44.2,247,0,377,0,0,7,192,53.8,18,31,329,2,32,59.0,76.7,83.8,63.5,,54.3,80.5,60.1,63,1,0,0,1,158,182,13,0,50,5,559,228,3.62,8.9,0.0,12
Jordan McCloud,101058,QB,TEXAS ST,13,63,9,3,20.3,74,0,197,0,0,3,67,13.9,11,21,314,7,19,56.5,82.8,73.4,81.6,,,65.2,60.1,42,2,0,0,0,394,167,25,0,38,7,364,191,3.03,5.8,,4
Dillon Gabriel,86272,QB,OREGON,14,62,14,4,42.0,126,0,179,0,0,7,67,29.3,9,22,264,4,15,70.5,86.8,90.0,86.3,,51.6,61.8,60.2,54,4,0,0,2,427,121,22,0,40,7,300,155,2.5,4.8,0.0,8
Nicholas Vattiato,145302,QB,MIDDLE TN,12,61,8,0,0.0,0,0,40,0,0,0,13,0.0,6,17,224,7,1,45.7,78.5,89.1,78.6,,,58.1,60.1,16,1,0,0,0,259,183,38,0,23,1,223,143,2.34,3.7,,11
Ben Finley,122864,QB,AKRON,12,60,8,2,21.1,48,0,86,0,0,4,31,7.8,11,13,102,6,15,51.2,61.6,69.1,62.4,,80.0,54.3,60.1,33,5,15,2,4,211,141,21,2,41,0,227,61,1.02,3.8,3.75,10
Ben Wooldridge,82115,QB,LA LAFAYET,11,60,7,1,5.3,15,0,103,0,0,2,38,6.6,10,26,207,2,4,65.6,83.8,78.1,81.2,,57.2,69.9,60.0,18,5,0,0,0,293,181,26,0,34,5,284,146,2.43,4.7,,14
