player,player_id,position,team_name,player_game_count,avg_time_to_throw,less_attempts,less_completion_percent,less_accuracy_percent,less_ypa,less_big_time_throws,less_btt_rate,less_turnover_worthy_plays,less_twp_rate,less_interceptions,less_touchdowns,less_avg_depth_of_target,less_avg_time_to_throw,less_def_gen_pressures,less_pressure_to_sack_rate,less_sack_percent,less_qb_rating,more_attempts,more_completion_percent,more_accuracy_percent,more_ypa,more_big_time_throws,more_btt_rate,more_turnover_worthy_plays,more_twp_rate,more_interceptions,more_touchdowns,more_avg_depth_of_target,more_avg_time_to_throw,more_def_gen_pressures,more_pressure_to_sack_rate,more_sack_percent,more_qb_rating
Drew VanVleet,177653,QB,DAYTON,11,2.6,180,72.8,78.1,5.9,0,0.0,7,3.5,4,8,4.1,1.76,19,47.4,4.8,92.8,133,48.1,66.7,6.9,4,2.9,10,5.6,6,10,14.1,3.64,71,38.0,15.6,77.0
Jalen Milroe,146590,QB,ALABAMA,13,2.88,136,79.4,84.1,8.4,5,3.5,2,1.4,3,6,4.0,1.86,24,16.7,2.9,107.1,187,51.9,63.7,9.1,13,6.4,8,3.2,8,10,14.5,3.5,100,19.0,8.3,83.0
Brendon Lewis,131687,QB,NEVADA,12,3.01,152,77.0,82.6,6.9,3,1.9,3,1.8,2,9,5.9,1.82,25,16.0,2.6,109.4,161,58.4,69.5,7.7,8,4.5,9,3.9,5,7,13.5,3.92,114,15.8,8.5,84.3
Matt Morrissey,148177,QB,E KENTUCKY,13,3.0,147,68.7,78.0,6.6,2,1.3,5,3.1,2,5,5.8,1.98,27,11.1,2.0,92.4,170,48.8,58.9,6.6,7,3.7,10,4.2,6,9,11.7,3.72,105,17.1,8.3,73.1
Simon Romfo,148126,QB,N DAKOTA,12,2.67,197,66.0,72.5,6.3,3,1.4,5,2.4,4,11,5.3,1.81,18,11.1,1.0,93.4,104,51.0,60.0,7.9,5,4.2,5,2.7,4,7,14.3,3.73,83,27.7,13.8,83.7
Brady Cook,124199,QB,MISSOURI,12,2.74,173,70.5,77.4,7.5,5,2.8,0,0.0,0,5,6.8,1.81,21,9.5,1.1,101.8,149,53.0,63.0,8.3,8,5.1,4,2.0,2,6,13.3,3.58,79,26.6,10.9,88.6
Eli Sawyer,141870,QB,SE LA,12,2.27,216,69.0,77.8,5.9,4,1.7,8,3.4,4,8,5.4,1.77,35,20.0,3.1,88.7,117,47.9,58.3,4.7,0,0.0,5,3.4,4,4,10.4,3.18,56,23.2,9.5,58.6
Kinkead Dent,99132,QB,TENN MARTN,14,2.85,157,70.1,79.5,6.3,1,0.6,1,0.6,2,6,4.3,1.88,26,3.8,0.6,94.0,166,47.0,59.7,9.2,20,11.8,12,5.7,5,15,16.9,3.59,117,16.2,9.2,97.0
Brady Meitz,149729,QB,STETSON,8,2.35,216,62.5,71.8,6.4,7,3.1,6,2.6,8,13,8.2,1.88,41,4.9,0.9,85.4,128,46.9,63.2,6.9,11,8.2,11,7.2,8,4,12.6,3.07,63,15.9,6.9,54.3
CJ Bailey,183349,QB,NC STATE,11,2.9,140,72.1,81.8,6.4,3,2.1,5,3.4,2,8,5.1,1.83,21,9.5,1.4,101.8,162,58.6,73.6,9.4,11,6.3,13,5.4,8,9,11.9,3.61,94,22.3,9.6,88.1
