player,player_id,position,team_name,player_game_count,comp_pct_diff,ypa_diff,no_screen_accuracy_percent,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_interceptions,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_ypa,npa_accuracy_percent,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_def_gen_pressures,npa_drop_rate,npa_interceptions,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_ypa,pa_accuracy_percent,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_def_gen_pressures,pa_drop_rate,pa_interceptions,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_ypa,screen_accuracy_percent,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_def_gen_pressures,screen_drop_rate,screen_interceptions,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_ypa
Hank Bachmeier,101284,QB,WAKE,12,4.98,0.65,70.1,323,11.0,3.08,18,5.1,60.1,164,7.2,9,25.0,85.8,10.0,14,11,2.5,7.4,70.9,236,9.1,3.04,10,3.9,60.6,113,8.3,9,22.1,79.9,8.4,10,10,3.1,7.0,74.1,122,10.8,2.83,8,6.1,65.6,58,3.6,1,27.6,101.5,10.6,6,2,1.2,7.6,88.2,35,-1.7,1.65,0,0.0,82.9,7,3.3,1,0.0,96.4,0.0,2,1,2.7,5.4
Connor Bazelak,99135,QB,BOWL GREEN,13,4.37,2.3,71.2,330,9.7,2.86,10,2.9,62.7,117,5.0,5,23.9,96.1,7.7,16,8,2.1,7.6,71.7,222,7.4,2.73,6,2.5,64.9,70,2.0,2,27.1,91.6,7.7,8,3,1.1,6.5,80.1,182,7.5,2.6,4,2.1,69.2,49,8.0,3,20.4,108.0,5.1,10,5,2.5,8.8,94.3,74,-2.3,1.79,0,0.0,85.1,2,4.5,0,50.0,105.9,1.3,2,0,0.0,7.2
Maddux Madsen,163379,QB,BOISE ST,14,2.5,2.51,69.6,358,10.9,2.89,9,2.4,60.3,111,7.7,6,10.8,99.0,3.0,22,20,4.7,7.9,70.1,256,8.7,2.69,5,1.8,61.3,79,8.2,4,13.9,90.2,3.8,12,17,5.5,6.7,74.6,141,11.1,3.02,4,2.7,63.8,34,7.2,2,2.9,113.8,0.7,11,3,1.9,9.2,89.5,39,-3.0,1.98,0,0.0,79.5,2,8.8,0,0.0,93.5,0.0,1,0,0.0,4.4
Caden Veltkamp,156642,QB,W KENTUCKY,13,0.25,3.36,73.3,336,10.3,2.87,15,4.2,63.1,119,8.2,9,21.8,100.8,6.8,23,13,3.2,8.3,77.3,289,7.6,2.62,9,3.0,66.1,83,8.2,7,20.5,96.1,5.3,17,11,3.3,7.1,72.9,101,10.9,2.95,6,5.6,66.3,40,4.3,3,22.5,114.8,7.8,8,2,1.6,10.4,94.0,54,-3.2,1.61,0,0.0,85.2,4,2.1,1,0.0,95.4,0.0,2,0,0.0,5.8
Maalik Murphy,157302,QB,DUKE,12,-1.73,-0.93,60.5,336,13.0,2.49,26,7.2,52.4,82,8.8,12,14.6,87.1,3.4,25,13,3.5,7.5,68.8,291,10.3,2.33,21,6.8,60.8,65,7.8,8,15.4,92.0,3.3,18,8,2.5,7.2,66.1,132,8.2,2.2,5,3.6,59.1,20,4.9,4,10.0,85.1,1.5,8,5,3.5,6.3,96.4,87,-3.2,1.5,0,0.0,90.8,3,2.5,0,0.0,89.4,0.0,1,0,0.0,4.5
Ethan Garbers,131896,QB,UCLA,11,7.82,1.23,68.9,312,9.5,3.08,10,3.0,60.3,166,4.6,11,19.3,82.4,8.4,13,18,4.5,7.4,71.2,292,7.5,2.93,6,1.9,63.0,152,3.2,10,20.4,79.6,8.7,8,16,4.2,7.2,80.6,72,8.1,3.08,4,5.6,70.8,24,5.6,1,12.5,127.7,3.7,8,3,3.7,8.5,97.9,52,-3.4,2.12,0,0.0,90.4,10,0.0,0,20.0,118.5,3.7,3,1,1.9,7.8
Ben Finley,122864,QB,AKRON,12,6.92,2.94,59.7,316,12.3,2.89,16,4.8,49.1,145,11.4,9,17.2,78.3,6.9,16,15,3.9,7.3,63.7,267,9.0,2.67,9,3.2,52.4,111,11.4,7,16.2,67.7,6.0,7,9,2.9,5.8,70.7,123,10.4,2.75,7,5.3,59.3,39,11.0,2,17.9,105.5,5.1,9,6,4.1,8.7,91.5,74,-2.3,1.77,0,0.0,78.4,5,10.8,0,0.0,84.8,0.0,0,0,0.0,4.4
Devon Dampier,171556,QB,NEW MEXICO,12,-6.02,1.48,65.6,365,12.9,2.9,20,5.0,55.9,96,9.3,12,3.1,76.0,0.7,12,10,2.3,7.2,69.0,237,10.8,2.8,9,3.5,59.9,49,9.0,10,4.1,69.9,0.7,6,9,3.1,6.5,63.6,154,13.6,2.9,11,6.5,53.9,49,8.8,2,4.1,87.7,1.2,6,1,0.5,8.0,84.6,26,-1.3,1.86,0,0.0,80.8,2,4.5,0,50.0,86.4,3.6,0,0,0.0,4.7
Brendan Sorsby,156398,QB,CINCINNATI,12,-9.98,1.53,68.9,345,10.5,2.92,8,2.2,61.2,110,6.6,6,15.5,92.4,4.4,17,12,2.9,7.2,74.7,244,7.9,2.73,5,1.9,67.6,62,5.2,5,16.1,94.1,3.7,12,7,2.4,6.7,66.9,144,11.0,2.97,3,2.0,57.6,50,8.8,2,14.0,92.4,4.3,6,6,3.6,8.2,95.1,43,-2.5,1.95,0,0.0,86.0,2,5.1,1,0.0,95.3,0.0,1,1,2.2,7.3
Jordan McCloud,101058,QB,TEXAS ST,13,-5.65,0.19,76.2,310,11.8,2.76,15,4.6,64.8,106,6.5,13,14.2,103.7,4.3,28,12,3.3,8.4,82.1,224,8.2,2.6,9,3.8,72.3,70,4.7,9,15.7,106.4,4.4,18,8,3.0,8.2,76.8,168,9.4,2.47,6,3.5,66.7,44,5.9,4,11.4,106.3,2.7,12,4,2.1,8.4,92.5,82,-2.0,1.7,0,0.0,89.0,8,1.4,0,12.5,107.0,1.2,2,0,0.0,7.7
