player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_attempts,blitz_completion_percent,blitz_accuracy_percent,blitz_ypa,blitz_big_time_throws,blitz_btt_rate,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_interceptions,blitz_touchdowns,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_def_gen_pressures,blitz_pressure_to_sack_rate,blitz_sack_percent,blitz_qb_rating,no_blitz_attempts,no_blitz_completion_percent,no_blitz_accuracy_percent,no_blitz_ypa,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_interceptions,no_blitz_touchdowns,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_def_gen_pressures,no_blitz_pressure_to_sack_rate,no_blitz_sack_percent,no_blitz_qb_rating,pressure_attempts,pressure_completion_percent,pressure_accuracy_percent,pressure_ypa,pressure_big_time_throws,pressure_btt_rate,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_interceptions,pressure_touchdowns,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_def_gen_pressures,pressure_pressure_to_sack_rate,pressure_sack_percent,pressure_qb_rating,no_pressure_attempts,no_pressure_completion_percent,no_pressure_accuracy_percent,no_pressure_ypa,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_interceptions,no_pressure_touchdowns,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_def_gen_pressures,no_pressure_pressure_to_sack_rate,no_pressure_sack_percent,no_pressure_qb_rating
Eddie Lee Marburger,145511,QB,UTSA,6,47,17,52.9,66.7,4.0,0,0.0,1,5.0,1,2,6.5,2.31,10,10.0,5.3,77.6,23,56.5,60.9,7.2,2,8.7,0,0.0,2,0,7.7,2.67,9,11.1,3.6,43.0,14,42.9,58.3,6.0,2,14.3,1,5.3,1,1,9.8,3.03,19,10.5,10.5,56.8,26,61.5,65.4,5.8,0,0.0,0,0.0,2,1,6.0,2.18,0,,0.0,58.2
Robby Ashford,131702,QB,S CAROLINA,6,47,18,61.1,76.5,10.6,1,5.3,2,6.9,0,1,12.6,3.06,12,41.7,17.9,115.7,14,85.7,92.3,9.5,2,11.1,0,0.0,0,1,5.4,2.78,5,20.0,5.3,130.1,8,50.0,85.7,10.9,1,8.3,2,9.5,0,0,14.0,3.68,17,35.3,35.3,89.1,24,79.2,82.6,9.9,2,8.0,0,0.0,0,2,8.1,2.53,0,,0.0,135.6
Ty Thompson,146568,QB,TULANE,6,45,18,27.8,33.3,1.6,1,5.3,2,9.5,2,1,15.8,3.7,7,0.0,0.0,18.5,22,54.5,59.1,7.8,1,3.8,0,0.0,1,2,7.9,3.01,4,25.0,4.0,91.3,9,11.1,16.7,0.8,1,9.1,1,7.1,1,1,20.8,4.27,11,9.1,9.1,37.0,31,51.6,54.8,6.2,1,2.9,1,2.7,2,2,9.2,3.01,0,,0.0,65.5
Hank Brown,172439,QB,AUBURN,3,45,23,60.9,68.2,4.7,0,0.0,1,4.3,1,2,5.6,2.15,6,0.0,0.0,83.1,21,61.9,78.9,14.1,2,9.1,2,8.7,2,4,12.7,2.19,4,0.0,0.0,105.8,9,66.7,85.7,8.2,1,11.1,0,0.0,0,1,11.9,3.15,10,0.0,0.0,128.9,35,60.0,70.6,9.4,1,2.8,3,8.3,3,5,8.3,1.89,0,,0.0,95.1
Gavin Wimsatt,155757,QB,KENTUCKY,6,44,8,37.5,42.9,4.5,1,11.1,2,16.7,2,2,13.0,2.75,5,40.0,18.2,52.1,31,41.9,55.2,8.1,5,14.7,3,8.1,2,1,16.6,3.06,10,10.0,3.0,54.6,11,27.3,62.5,2.5,2,16.7,0,0.0,0,0,13.4,3.73,15,20.0,20.0,39.6,28,46.4,50.0,9.3,4,12.9,5,15.6,4,3,16.6,2.59,0,,0.0,75.4
Drew Devillier,190639,QB,RICE,3,44,21,42.9,50.0,3.5,0,0.0,0,0.0,0,0,6.7,2.22,8,0.0,0.0,52.5,18,61.1,75.0,3.5,0,0.0,2,9.5,0,0,4.9,2.57,5,40.0,9.5,67.6,8,50.0,57.1,5.0,0,0.0,1,6.7,0,0,8.7,3.0,13,15.4,15.4,64.6,31,51.6,63.0,3.1,0,0.0,1,3.2,0,0,5.1,2.13,0,,0.0,58.1
Steve Angeli,156966,QB,NOTRE DAME,8,43,14,64.3,71.4,8.2,1,7.1,0,0.0,0,1,8.2,2.82,6,16.7,5.9,113.7,22,68.2,90.5,7.0,1,4.3,0,0.0,0,2,7.9,2.67,10,40.0,15.4,118.2,10,60.0,88.9,8.6,2,18.2,0,0.0,0,0,11.9,3.39,16,31.3,31.3,87.9,26,69.2,80.8,7.0,0,0.0,0,0.0,0,3,6.7,2.33,0,,0.0,127.4
Blake Baker,170448,QB,LA TECH,2,43,8,25.0,50.0,8.4,0,0.0,1,9.1,2,0,9.7,2.25,8,37.5,27.3,22.4,27,63.0,77.8,9.1,0,0.0,0,0.0,1,1,7.2,2.56,8,12.5,3.1,89.6,9,22.2,57.1,12.0,0,0.0,0,0.0,1,0,10.9,2.9,16,25.0,25.0,37.5,26,65.4,76.9,7.9,0,0.0,1,3.4,2,1,6.8,2.23,0,,0.0,70.4
Braxton Woodson,175276,QB,NAVY,3,42,9,55.6,66.7,5.8,0,0.0,0,0.0,1,1,5.1,2.54,4,25.0,8.3,69.9,27,48.1,60.0,7.1,0,0.0,0,0.0,1,1,9.4,2.44,4,25.0,3.3,68.6,5,20.0,25.0,1.8,0,0.0,0,0.0,0,0,5.3,3.5,8,25.0,25.0,39.6,31,54.8,66.7,7.5,0,0.0,0,0.0,2,2,8.7,2.22,0,,0.0,73.9
Conner Harrell,156352,QB,N CAROLINA,4,42,16,62.5,73.3,11.2,0,0.0,0,0.0,1,2,8.3,2.74,5,20.0,5.6,114.3,21,52.4,63.2,4.9,0,0.0,1,3.7,0,0,8.6,2.88,6,16.7,4.2,66.2,8,37.5,60.0,7.5,0,0.0,1,7.1,1,0,18.6,3.72,11,18.2,18.2,25.0,29,62.1,69.0,7.7,0,0.0,0,0.0,0,2,6.7,2.5,0,,0.0,108.7
Gabarri Johnson,175905,QB,OREGON ST,6,41,7,42.9,50.0,7.1,0,0.0,1,9.1,0,0,6.2,3.37,6,50.0,27.3,67.6,21,52.4,63.2,5.8,0,0.0,1,3.3,1,0,9.1,3.2,8,25.0,6.7,50.1,4,25.0,25.0,3.8,0,0.0,1,7.1,0,0,1.8,4.09,14,35.7,35.7,42.7,24,54.2,66.7,6.5,0,0.0,1,3.7,1,0,9.7,2.81,0,,0.0,57.1
Justyn Martin,162461,QB,UCLA,3,41,15,73.3,78.6,5.6,0,0.0,1,5.3,0,1,5.4,2.57,10,20.0,10.5,108.7,20,65.0,73.7,4.8,0,0.0,0,0.0,0,0,2.6,2.57,12,8.3,4.5,76.0,17,64.7,73.3,7.0,0,0.0,1,4.5,0,1,6.3,2.89,22,13.6,13.6,104.8,18,72.2,77.8,3.3,0,0.0,0,0.0,0,0,1.7,2.21,0,,0.0,76.2
Jackson Stratton,157206,QB,IOWA,3,41,16,62.5,76.9,4.9,0,0.0,0,0.0,0,0,6.8,2.12,9,11.1,5.0,74.7,19,57.9,73.7,7.4,0,0.0,0,0.0,0,1,5.9,2.69,7,14.3,4.8,98.6,12,41.7,54.5,3.1,0,0.0,0,0.0,0,0,9.3,2.79,16,12.5,12.5,49.7,23,69.6,85.7,7.9,0,0.0,0,0.0,0,1,4.7,2.17,0,,0.0,107.5
Christopher Vizzina,170032,QB,CLEMSON,7,40,13,30.8,40.0,2.8,0,0.0,0,0.0,0,0,10.2,2.34,8,37.5,16.7,40.2,21,71.4,85.7,7.3,0,0.0,0,0.0,0,0,6.3,2.24,1,0.0,0.0,92.0,5,20.0,25.0,0.4,0,0.0,0,0.0,0,0,11.0,2.91,9,33.3,33.3,39.6,29,62.1,77.8,6.5,0,0.0,0,0.0,0,0,7.0,2.1,0,,0.0,80.8
Tayven Jackson,157615,QB,INDIANA,4,40,20,65.0,88.2,8.6,1,4.8,0,0.0,0,3,8.1,2.57,8,12.5,4.8,131.5,17,58.8,58.8,10.5,1,5.6,2,10.0,1,1,11.2,2.65,2,0.0,0.0,89.8,8,62.5,83.3,14.5,2,22.2,0,0.0,0,2,16.8,3.16,10,10.0,10.0,145.8,29,62.1,71.4,8.0,0,0.0,2,6.5,1,2,8.1,2.42,0,,0.0,95.9
Beau Pribula,164182,QB,PENN STATE,7,40,11,81.8,90.0,7.9,0,0.0,0,0.0,0,1,9.2,2.72,5,20.0,7.7,129.9,24,70.8,79.2,7.8,3,12.0,0,0.0,1,4,7.8,2.55,4,0.0,0.0,116.0,7,85.7,100.0,8.9,0,0.0,0,0.0,0,1,8.5,3.0,9,11.1,11.1,143.2,28,71.4,78.6,7.6,3,10.0,0,0.0,1,4,8.1,2.49,0,,0.0,118.0
Brandon Rose,158503,QB,UTAH,2,39,10,70.0,80.0,5.4,0,0.0,0,0.0,0,2,8.3,2.39,5,0.0,0.0,122.5,26,46.2,52.0,4.0,1,3.7,2,6.7,2,0,9.4,2.88,3,33.3,3.4,25.0,6,50.0,80.0,3.5,0,0.0,0,0.0,0,1,5.0,3.93,8,12.5,12.5,97.9,30,53.3,56.7,4.5,1,3.2,2,6.3,2,1,9.8,2.45,0,,0.0,48.8
John White,184784,QB,SO MISS,3,39,14,50.0,66.7,6.8,1,5.9,1,4.5,2,0,12.5,2.61,11,45.5,26.3,32.4,17,58.8,58.8,8.5,0,0.0,1,4.8,1,0,9.5,2.93,3,0.0,0.0,62.1,8,37.5,42.9,5.0,0,0.0,0,0.0,1,0,12.6,2.83,14,35.7,35.7,14.6,23,60.9,68.2,8.7,1,4.0,2,7.4,2,0,10.1,2.74,0,,0.0,52.8
CJ Harris,130594,QB,CAL,2,39,12,83.3,90.9,10.3,1,7.7,1,5.6,0,0,5.1,2.29,5,40.0,12.5,109.4,19,47.4,55.6,3.2,0,0.0,3,12.0,1,0,12.4,2.57,5,40.0,8.7,33.0,5,80.0,100.0,6.6,0,0.0,0,0.0,0,0,7.0,3.03,10,40.0,40.0,94.2,26,57.7,64.0,5.8,1,3.8,4,13.8,1,0,10.1,2.26,0,,0.0,58.3
Garret Rangel,157795,QB,OKLA STATE,4,38,6,33.3,40.0,4.8,0,0.0,0,0.0,0,0,6.6,2.43,4,25.0,14.3,50.0,27,55.6,64.0,6.0,0,0.0,2,6.5,1,2,9.2,2.65,6,0.0,0.0,82.8,7,42.9,50.0,2.0,0,0.0,0,0.0,0,0,5.7,3.94,10,10.0,10.0,50.3,26,53.8,62.5,6.8,0,0.0,2,7.1,1,2,9.5,2.14,0,,0.0,85.1
Daniel Beale,197861,QB,LA LAFAYET,3,37,12,33.3,50.0,2.5,0,0.0,1,6.7,1,0,7.7,2.83,6,16.7,7.1,7.6,18,50.0,70.6,5.3,1,5.3,1,4.2,1,0,11.9,3.23,8,12.5,4.3,42.8,9,11.1,50.0,1.4,1,10.0,2,13.3,2,0,20.3,3.96,14,14.3,14.3,0.0,21,57.1,66.7,5.4,0,0.0,0,0.0,0,0,7.5,2.54,0,,0.0,72.1
Malachi Singleton,172426,QB,ARKANSAS,4,36,7,71.4,71.4,13.4,0,0.0,1,9.1,0,0,14.7,2.46,6,50.0,27.3,113.7,21,76.2,80.0,11.9,1,4.3,0,0.0,0,1,11.9,2.83,5,60.0,12.0,131.1,4,50.0,50.0,6.5,0,0.0,1,9.1,0,0,11.5,3.2,11,54.5,54.5,70.8,24,79.2,82.6,13.3,1,3.8,0,0.0,0,1,12.8,2.5,0,,0.0,132.6
Tommy Schuster,108954,QB,MICH STATE,4,36,14,71.4,78.6,7.0,0,0.0,1,5.6,0,0,5.9,2.96,6,50.0,16.7,90.8,15,66.7,73.3,6.9,0,0.0,1,5.6,0,0,7.3,3.32,9,33.3,16.7,86.5,8,50.0,50.0,3.1,0,0.0,2,13.3,0,0,5.5,4.07,15,40.0,40.0,56.8,21,76.2,85.7,8.4,0,0.0,0,0.0,0,0,7.0,2.47,0,,0.0,100.7
Dexter Williams II,129457,QB,GA SOUTHRN,4,35,5,80.0,80.0,9.6,1,20.0,0,0.0,0,1,7.4,1.92,0,,0.0,146.3,26,57.7,72.0,7.7,2,7.4,0,0.0,0,2,13.2,2.81,6,16.7,3.3,107.9,3,33.3,33.3,11.3,0,0.0,0,0.0,0,0,29.3,4.68,6,16.7,16.7,77.1,28,64.3,77.8,7.6,3,10.3,0,0.0,0,3,10.3,2.27,0,,0.0,123.2
Harrison Bailey,124266,QB,LOUISVILLE,3,35,15,73.3,78.6,6.9,0,0.0,0,0.0,0,0,8.5,2.52,5,0.0,0.0,91.8,18,72.2,82.4,6.9,1,5.6,0,0.0,0,3,7.4,2.54,2,0.0,0.0,130.6,7,57.1,66.7,5.6,0,0.0,0,0.0,0,1,6.3,3.09,7,0.0,0.0,112.5,26,76.9,84.0,7.2,1,3.8,0,0.0,0,2,8.3,2.39,0,,0.0,122.0
Brandon Nunez,183978,QB,NEW MEX ST,5,34,10,40.0,55.6,3.0,0,0.0,0,0.0,0,2,6.9,2.12,2,0.0,0.0,87.5,20,40.0,47.4,3.0,0,0.0,1,4.2,1,0,13.1,2.73,8,25.0,8.7,27.1,7,14.3,33.3,0.0,0,0.0,0,0.0,0,0,13.7,3.52,10,20.0,20.0,39.6,23,47.8,54.5,3.9,0,0.0,1,4.0,1,2,10.4,2.13,0,,0.0,68.9
Tahj Bullock,144070,QB,AKRON,9,34,9,44.4,66.7,2.1,0,0.0,1,8.3,0,0,3.1,1.88,5,20.0,9.1,51.6,19,84.2,100.0,7.5,0,0.0,0,0.0,0,0,1.4,2.23,6,66.7,17.4,97.8,5,60.0,80.0,5.6,0,0.0,1,8.3,0,0,7.6,2.45,11,45.5,45.5,75.4,23,73.9,90.5,5.8,0,0.0,0,0.0,0,0,0.6,1.95,0,,0.0,87.8
Quinn Henicle,190064,QB,DOMINION,3,34,3,33.3,33.3,4.0,0,0.0,1,20.0,1,0,22.0,3.02,5,40.0,40.0,6.9,22,59.1,63.6,7.7,0,0.0,2,6.3,0,2,7.6,2.89,14,28.6,13.8,113.6,10,40.0,40.0,3.2,0,0.0,3,15.0,1,1,16.1,3.37,19,31.6,31.6,42.5,15,66.7,73.3,9.9,0,0.0,0,0.0,0,1,4.8,2.31,0,,0.0,121.2
Austin Simmons,175891,QB,OLE MISS,7,34,14,50.0,50.0,6.4,0,0.0,0,0.0,0,0,10.8,2.41,3,33.3,6.3,70.2,18,66.7,77.8,10.7,2,10.0,0,0.0,0,2,12.9,2.28,0,,0.0,139.4,2,0.0,0.0,0.0,0,0.0,0,0.0,0,0,20.5,2.7,3,33.3,33.3,39.6,30,63.3,70.0,9.4,2,6.5,0,0.0,0,2,11.4,2.3,0,,0.0,116.2
Chandler Rogers,98683,QB,CAL,5,34,9,66.7,87.5,3.7,1,9.1,0,0.0,0,0,7.1,2.66,3,66.7,16.7,72.9,15,40.0,50.0,5.6,0,0.0,0,0.0,0,0,9.0,3.15,9,22.2,9.1,58.8,4,75.0,75.0,8.0,0,0.0,0,0.0,0,0,10.5,3.76,12,33.3,33.3,97.9,20,45.0,61.1,4.3,1,4.5,0,0.0,0,0,7.8,2.55,0,,0.0,57.3
Luke Bottari,73931,QB,UTAH,3,33,8,62.5,83.3,4.9,0,0.0,0,0.0,0,0,7.7,3.2,5,20.0,11.1,74.5,23,60.9,68.2,5.7,1,4.0,0,0.0,0,1,8.9,2.68,6,16.7,4.2,91.2,9,44.4,66.7,5.6,0,0.0,0,0.0,0,0,9.7,3.56,11,18.2,18.2,62.3,22,68.2,72.7,5.5,1,4.3,0,0.0,0,1,8.4,2.45,0,,0.0,97.0
Jeff Sims,122496,QB,ARIZONA ST,2,33,5,60.0,75.0,5.2,0,0.0,0,0.0,0,0,3.0,3.44,4,50.0,25.0,73.8,20,50.0,52.6,7.1,0,0.0,0,0.0,0,0,16.3,3.38,8,0.0,0.0,73.3,5,20.0,33.3,2.2,0,0.0,0,0.0,0,0,23.0,4.14,12,16.7,16.7,39.6,20,60.0,60.0,7.9,0,0.0,0,0.0,0,0,12.6,2.96,0,,0.0,84.8
Tad Hudson,170107,QB,COAST CAR,1,33,13,69.2,81.8,8.0,1,6.7,0,0.0,0,2,5.9,2.21,5,20.0,5.9,132.7,13,61.5,72.7,5.3,0,0.0,1,5.0,0,0,8.6,2.96,8,25.0,12.5,75.5,8,25.0,50.0,2.4,0,0.0,1,7.1,0,0,10.5,3.17,13,23.1,23.1,39.6,18,83.3,83.3,8.6,1,4.3,0,0.0,0,2,6.6,2.19,0,,0.0,139.4
Joshua Wood,163421,QB,FRESNO ST,6,32,8,75.0,85.7,7.1,0,0.0,0,0.0,0,1,6.3,2.32,3,33.3,10.0,133.9,21,61.9,70.0,6.9,1,4.8,1,4.5,1,0,9.5,2.99,6,0.0,0.0,62.4,7,42.9,60.0,10.3,1,12.5,0,0.0,0,0,18.4,4.3,9,11.1,11.1,80.7,22,72.7,77.3,5.9,0,0.0,1,4.3,1,1,6.5,2.19,0,,0.0,83.3
David Lynch,170120,QB,PITTSBURGH,3,31,10,30.0,44.4,2.6,0,0.0,3,27.3,2,0,14.0,2.24,4,25.0,9.1,0.0,17,76.5,76.5,5.0,0,0.0,0,0.0,1,0,5.5,2.51,6,33.3,10.0,62.1,6,66.7,80.0,5.0,0,0.0,1,10.0,1,0,6.6,2.93,10,30.0,30.0,38.9,21,57.1,61.9,3.9,0,0.0,2,8.7,2,0,8.9,2.16,0,,0.0,26.2
RJ Martinez,147690,QB,TEXAS ST,2,30,7,85.7,85.7,12.1,0,0.0,0,0.0,0,0,5.6,2.3,5,20.0,11.1,117.3,17,70.6,70.6,3.7,0,0.0,1,4.5,1,0,3.6,2.76,3,33.3,4.8,51.8,3,100.0,100.0,10.0,0,0.0,1,12.5,0,0,-1.0,3.45,8,25.0,25.0,108.3,21,71.4,71.4,5.6,0,0.0,0,0.0,1,0,5.0,2.32,0,,0.0,65.2
Timmy McClain,144488,QB,ARK STATE,4,29,6,66.7,66.7,6.2,0,0.0,0,0.0,0,0,6.5,2.03,1,100.0,14.3,83.3,15,66.7,92.3,8.4,0,0.0,0,0.0,0,3,9.4,3.5,12,25.0,13.6,132.2,6,66.7,80.0,10.8,0,0.0,0,0.0,0,2,15.6,4.57,13,30.8,30.8,142.4,15,66.7,85.7,6.5,0,0.0,0,0.0,0,1,5.9,1.99,0,,0.0,107.1
AJ Bianco,158232,QB,NEVADA,3,28,6,50.0,60.0,3.7,0,0.0,0,0.0,0,0,12.2,3.07,1,0.0,0.0,59.0,18,72.2,72.2,8.4,1,5.3,2,9.1,0,1,12.1,3.35,6,33.3,9.5,115.7,5,80.0,100.0,9.8,0,0.0,0,0.0,0,0,5.8,4.46,7,28.6,28.6,107.5,19,63.2,63.2,6.5,1,4.8,2,8.7,0,1,13.4,2.89,0,,0.0,99.5
Gaston Moore,123756,QB,TENNESSEE,5,28,6,83.3,100.0,7.5,0,0.0,0,0.0,0,1,5.5,1.75,0,,0.0,137.5,21,52.4,61.9,7.4,2,8.0,2,7.7,2,1,15.3,2.79,6,0.0,0.0,53.0,5,20.0,20.0,10.6,2,25.0,1,11.1,1,0,32.0,3.87,6,0.0,0.0,31.7,22,68.2,81.8,6.7,0,0.0,1,3.8,1,2,8.9,2.21,0,,0.0,98.3
Chubba Purdy,122412,QB,NEVADA,4,28,5,80.0,100.0,9.8,0,0.0,0,0.0,0,0,4.3,2.35,3,33.3,16.7,107.5,20,70.0,70.0,9.2,1,4.5,1,4.0,1,1,9.9,2.94,6,16.7,4.5,94.6,6,33.3,40.0,2.8,0,0.0,0,0.0,1,0,12.6,3.69,9,22.2,22.2,2.8,19,84.2,84.2,11.4,1,5.0,1,4.8,0,1,7.9,2.4,0,,0.0,131.6
EJ Caminong,188167,QB,CAL,1,27,9,11.1,16.7,0.7,0,0.0,1,8.3,0,0,6.2,2.56,3,66.7,16.7,39.6,10,50.0,50.0,5.1,1,10.0,1,6.7,0,0,8.3,2.85,4,0.0,0.0,65.0,2,50.0,100.0,10.0,1,50.0,1,14.3,0,0,18.0,4.27,7,28.6,28.6,85.4,17,29.4,33.3,2.2,0,0.0,1,5.0,0,0,6.8,2.18,0,,0.0,39.6
Ty Simpson,157008,QB,ALABAMA,4,27,8,62.5,75.0,5.4,0,0.0,0,0.0,0,0,10.0,2.79,4,25.0,10.0,76.6,17,52.9,70.6,7.3,1,5.6,0,0.0,0,0,11.6,2.64,3,0.0,0.0,76.6,5,40.0,60.0,12.6,1,14.3,0,0.0,0,0,23.0,4.41,7,14.3,14.3,87.5,20,60.0,75.0,5.2,0,0.0,0,0.0,0,0,8.1,2.09,0,,0.0,73.8
Emory Williams,170099,QB,MIAMI FL,2,26,8,50.0,71.4,5.1,0,0.0,0,0.0,0,0,5.0,2.23,2,0.0,0.0,65.1,18,66.7,86.7,8.1,2,11.1,1,5.6,1,1,10.3,2.44,2,0.0,0.0,86.8,4,0.0,100.0,0.0,0,0.0,0,0.0,0,0,5.0,3.13,4,0.0,0.0,39.6,22,72.7,81.0,8.5,2,9.1,1,4.5,1,1,8.8,2.24,0,,0.0,94.3
Ryan Burger,157544,QB,LIBERTY,5,26,10,40.0,62.5,6.0,1,10.0,0,0.0,0,0,8.0,3.39,6,16.7,7.7,60.4,9,44.4,50.0,3.1,0,0.0,1,7.1,0,0,8.5,3.35,7,28.6,15.4,52.1,8,25.0,60.0,3.6,1,12.5,1,7.7,0,0,7.6,3.98,13,23.1,23.1,42.2,11,54.5,54.5,5.4,0,0.0,0,0.0,0,0,8.5,2.76,0,,0.0,69.9
EJ Colson,190335,QB,UCF,2,26,7,85.7,85.7,3.9,0,0.0,0,0.0,0,1,4.0,3.24,8,62.5,38.5,122.3,9,33.3,44.4,4.1,0,0.0,1,7.1,1,0,14.1,3.9,4,0.0,0.0,7.4,2,50.0,50.0,3.0,0,0.0,0,0.0,0,1,12.5,4.74,12,41.7,41.7,95.8,14,57.1,64.3,4.1,0,0.0,1,6.3,1,0,9.3,2.56,0,,0.0,37.2
Devin Brown,156479,QB,OHIO STATE,6,25,6,66.7,66.7,7.5,0,0.0,0,0.0,0,1,5.0,2.47,2,50.0,14.3,128.5,14,50.0,57.1,4.9,0,0.0,0,0.0,0,0,8.7,2.98,3,33.3,5.6,64.3,1,100.0,100.0,17.0,0,0.0,0,0.0,0,1,12.0,4.56,5,40.0,40.0,158.3,19,52.6,57.9,5.1,0,0.0,0,0.0,0,0,7.4,2.41,0,,0.0,67.2
Khalib Johnson,156331,QB,KENNESAW,3,25,10,20.0,40.0,2.9,0,0.0,2,18.2,0,0,17.0,3.02,5,20.0,9.1,39.6,12,33.3,33.3,2.3,1,8.3,3,21.4,3,0,14.1,3.29,4,25.0,7.1,2.8,6,33.3,33.3,4.8,1,16.7,3,33.3,1,0,17.7,3.96,9,22.2,22.2,10.4,16,25.0,37.5,1.8,0,0.0,2,12.5,2,0,14.6,2.73,0,,0.0,0.0
Henry Hesson,145798,QB,MIAMI OH,5,25,7,28.6,33.3,3.6,0,0.0,1,12.5,0,0,17.8,2.56,1,0.0,0.0,42.0,11,45.5,55.6,6.2,0,0.0,0,0.0,0,1,7.0,3.41,9,22.2,11.1,96.0,4,50.0,66.7,6.5,0,0.0,0,0.0,0,0,15.3,4.19,10,20.0,20.0,70.8,14,35.7,41.7,4.8,0,0.0,1,6.7,0,1,10.3,2.49,0,,0.0,75.6
Max Johnson,124099,QB,N CAROLINA,1,24,10,60.0,60.0,3.2,0,0.0,1,7.1,1,0,5.4,2.36,3,0.0,0.0,25.8,9,66.7,87.5,4.3,0,0.0,0,0.0,0,0,3.1,2.94,5,40.0,15.4,75.7,4,50.0,66.7,4.3,0,0.0,1,9.1,1,0,12.0,3.79,8,25.0,25.0,21.9,15,66.7,73.3,3.6,0,0.0,0,0.0,0,0,2.9,2.12,0,,0.0,72.6
Billy Atkins,148354,QB,JAMES MAD,2,24,18,66.7,77.8,7.7,2,11.1,0,0.0,0,1,13.7,2.3,3,0.0,0.0,108.3,6,66.7,100.0,7.0,0,0.0,0,0.0,0,0,7.4,3.25,1,0.0,0.0,86.8,4,50.0,75.0,5.3,1,25.0,0,0.0,0,0,18.8,3.1,4,0.0,0.0,65.6,20,70.0,84.2,8.0,1,5.0,0,0.0,0,1,11.0,2.43,0,,0.0,110.4
Logan Smothers,129713,QB,JVILLE ST,2,23,8,62.5,62.5,4.1,0,0.0,1,10.0,0,0,7.5,2.06,2,50.0,11.1,71.4,11,54.5,70.0,8.2,0,0.0,0,0.0,0,0,7.9,2.61,3,33.3,7.1,81.6,2,0.0,0.0,0.0,0,0.0,1,16.7,0,0,15.0,4.18,5,40.0,40.0,39.6,17,64.7,70.6,7.2,0,0.0,0,0.0,0,0,7.3,1.89,0,,0.0,86.2
Deuce Hogan,129470,QB,NEW MEX ST,2,22,13,23.1,40.0,1.2,0,0.0,1,7.1,2,0,14.0,2.91,5,0.0,0.0,0.0,6,50.0,80.0,2.7,1,14.3,0,0.0,0,0,10.6,3.6,3,66.7,22.2,56.3,6,0.0,0.0,0.0,0,0.0,1,12.5,2,0,17.7,3.96,8,25.0,25.0,0.0,13,46.2,66.7,2.4,1,6.7,0,0.0,0,0,11.7,2.75,0,,0.0,53.0
Heinrich Haarberg,144993,QB,NEBRASKA,5,20,5,80.0,80.0,7.8,0,0.0,0,0.0,0,0,7.0,2.18,2,0.0,0.0,99.2,13,46.2,46.2,4.8,0,0.0,1,5.9,1,0,13.2,3.02,3,33.3,6.7,28.4,3,33.3,33.3,2.7,0,0.0,0,0.0,0,0,20.7,3.88,5,20.0,20.0,42.4,15,60.0,60.0,6.2,0,0.0,1,5.3,1,0,9.6,2.45,0,,0.0,50.1
Julian Dugger,183269,QB,PITTSBURGH,1,19,4,75.0,75.0,7.8,0,0.0,0,0.0,0,2,9.5,3.17,6,33.3,28.6,136.5,9,44.4,62.5,4.6,1,9.1,2,14.3,1,0,9.3,3.43,3,33.3,8.3,18.5,4,50.0,66.7,3.8,0,0.0,1,8.3,0,1,7.7,3.91,9,33.3,33.3,99.0,9,55.6,66.7,6.3,1,10.0,1,9.1,1,1,9.9,2.81,0,,0.0,72.2
Malachi Nelson,174203,QB,BOISE ST,3,19,8,62.5,75.0,4.9,1,11.1,0,0.0,1,0,3.4,1.96,2,50.0,11.1,34.9,9,77.8,77.8,9.9,0,0.0,0,0.0,0,0,9.1,2.76,1,100.0,10.0,107.9,1,0.0,0.0,0.0,0,0.0,0,0.0,1,0,14.0,2.97,3,66.7,66.7,0.0,16,75.0,81.3,8.0,1,5.9,0,0.0,0,0,5.9,2.27,0,,0.0,97.9
Josh Johnson,186429,QB,AIR FORCE,5,19,6,66.7,66.7,11.3,0,0.0,1,11.1,1,1,21.5,3.5,6,16.7,11.1,104.9,8,25.0,50.0,7.3,2,22.2,2,18.2,2,0,18.5,3.04,4,0.0,0.0,17.7,7,57.1,57.1,16.4,2,25.0,2,18.2,2,1,27.9,4.11,10,10.0,10.0,101.8,7,28.6,57.1,1.6,0,0.0,1,11.1,1,0,11.7,2.31,0,,0.0,0.0
Brad Jackson,184354,QB,TEXAS ST,2,18,7,57.1,66.7,7.3,0,0.0,0,0.0,0,0,7.7,2.26,4,0.0,0.0,80.1,8,50.0,57.1,8.4,0,0.0,1,9.1,0,1,7.0,2.69,2,0.0,0.0,118.2,5,20.0,25.0,1.8,0,0.0,0,0.0,0,0,13.0,2.98,6,0.0,0.0,39.6,10,70.0,77.8,10.9,0,0.0,1,7.7,0,1,4.8,2.26,0,,0.0,139.2
