player,player_id,position,team_name,player_game_count,base_attempts,base_dropbacks,deep_attempts,deep_completion_percent,deep_accuracy_percent,deep_ypa,deep_big_time_throws,deep_btt_rate,deep_turnover_worthy_plays,deep_twp_rate,deep_interceptions,deep_touchdowns,deep_avg_depth_of_target,deep_avg_time_to_throw,deep_def_gen_pressures,deep_pressure_to_sack_rate,deep_sack_percent,deep_qb_rating,medium_attempts,medium_completion_percent,medium_accuracy_percent,medium_ypa,medium_big_time_throws,medium_btt_rate,medium_turnover_worthy_plays,medium_twp_rate,medium_interceptions,medium_touchdowns,medium_avg_depth_of_target,medium_avg_time_to_throw,medium_def_gen_pressures,medium_pressure_to_sack_rate,medium_sack_percent,medium_qb_rating,short_attempts,short_completion_percent,short_accuracy_percent,short_ypa,short_big_time_throws,short_btt_rate,short_turnover_worthy_plays,short_twp_rate,short_interceptions,short_touchdowns,short_avg_depth_of_target,short_avg_time_to_throw,short_def_gen_pressures,short_pressure_to_sack_rate,short_sack_percent,short_qb_rating,behind_los_attempts,behind_los_completion_percent,behind_los_accuracy_percent,behind_los_ypa,behind_los_big_time_throws,behind_los_btt_rate,behind_los_turnover_worthy_plays,behind_los_twp_rate,behind_los_interceptions,behind_los_touchdowns,behind_los_avg_depth_of_target,behind_los_avg_time_to_throw,behind_los_def_gen_pressures,behind_los_pressure_to_sack_rate,behind_los_sack_percent,behind_los_qb_rating
Dylan Raiola,183581,QB,NEBRASKA,13,413,454,56,33.9,37.5,10.8,14,20.3,2,2.9,5,2,28.6,2.95,10,0.0,0.0,50.1,89,57.3,59.6,9.2,3,3.1,4,4.1,5,6,13.5,2.95,33,0.0,0.0,87.2,140,78.6,80.0,6.3,0,0.0,1,0.7,1,4,4.3,2.64,38,0.0,0.0,99.6,98,95.9,96.9,5.1,0,0.0,0,0.0,0,1,-3.3,1.85,9,0.0,0.0,91.5
Athan Kaliakmanis,144971,QB,RUTGERS,13,396,448,55,27.3,32.7,11.0,13,21.3,4,6.6,2,3,32.0,2.85,23,0.0,0.0,75.9,133,51.1,57.9,8.0,2,1.4,8,5.6,4,5,13.4,2.65,34,0.0,0.0,77.9,158,69.0,77.2,5.5,0,0.0,6,3.7,1,7,4.8,2.36,30,0.0,0.0,94.6,27,77.8,81.5,6.1,0,0.0,0,0.0,0,3,-2.3,2.21,11,0.0,0.0,129.2
Hank Bachmeier,101284,QB,WAKE,12,358,447,53,39.6,43.4,12.6,18,27.7,2,3.1,3,7,28.0,2.87,11,0.0,0.0,103.2,82,48.8,56.1,7.5,0,0.0,4,4.4,5,1,13.3,3.24,23,0.0,0.0,52.7,148,81.1,84.5,6.7,0,0.0,2,1.3,1,6,5.1,2.54,40,0.0,0.0,105.4,49,85.7,91.8,6.1,0,0.0,1,2.0,1,2,-2.3,1.79,13,0.0,0.0,97.1
Connor Bazelak,99135,QB,BOWL GREEN,13,404,442,46,39.1,45.7,12.6,10,19.6,1,2.0,2,5,27.1,3.31,18,0.0,0.0,104.9,79,60.8,62.0,11.1,0,0.0,6,7.4,3,4,13.9,2.92,20,0.0,0.0,99.9,170,77.6,81.2,6.3,0,0.0,0,0.0,0,7,4.0,2.35,23,0.0,0.0,106.5,81,88.9,93.8,6.6,0,0.0,0,0.0,0,2,-2.8,1.97,8,0.0,0.0,102.6
Maddux Madsen,163379,QB,BOISE ST,14,397,439,51,35.3,43.1,11.5,9,16.4,6,10.9,2,6,28.3,2.9,11,0.0,0.0,102.2,115,58.3,63.5,9.7,0,0.0,8,6.4,2,7,14.0,2.95,21,0.0,0.0,104.3,163,78.5,82.8,6.8,0,0.0,5,2.9,2,8,3.9,2.4,31,0.0,0.0,106.1,45,75.6,84.4,4.6,0,0.0,0,0.0,0,2,-3.1,2.13,7,0.0,0.0,99.0
Caden Veltkamp,156642,QB,W KENTUCKY,13,390,437,57,35.1,40.4,12.4,13,20.0,6,9.2,4,8,28.5,2.92,13,0.0,0.0,93.2,66,60.6,66.7,12.1,2,2.8,1,1.4,2,6,14.7,2.92,18,0.0,0.0,120.6,170,78.2,85.3,7.3,0,0.0,3,1.7,3,10,4.5,2.35,30,0.0,0.0,109.2,72,90.3,91.7,5.0,0,0.0,0,0.0,1,1,-3.7,2.03,15,0.0,0.0,86.4
Maalik Murphy,157302,QB,DUKE,12,423,437,71,33.8,38.0,12.7,24,29.6,6,7.4,4,10,31.1,2.66,18,0.0,0.0,98.4,92,39.1,44.6,7.3,2,2.0,4,4.0,5,4,13.5,2.51,22,0.0,0.0,57.0,149,73.2,79.2,6.2,0,0.0,2,1.3,3,9,5.0,2.23,18,0.0,0.0,100.6,91,94.5,96.7,4.7,0,0.0,0,0.0,0,3,-3.3,1.54,3,0.0,0.0,97.4
Ethan Garbers,131896,QB,UCLA,11,364,436,33,42.4,42.4,13.0,9,23.7,2,5.3,1,4,29.8,3.4,13,0.0,0.0,116.5,77,50.6,53.2,9.6,1,1.2,9,10.8,6,3,13.5,3.15,27,0.0,0.0,64.9,161,75.2,79.5,6.5,0,0.0,4,2.4,4,6,4.7,2.37,40,0.0,0.0,94.0,63,96.8,96.8,8.0,0,0.0,0,0.0,0,3,-3.4,2.13,10,0.0,0.0,115.7
Ben Finley,122864,QB,AKRON,12,390,436,58,29.3,34.5,9.4,13,19.7,9,13.6,4,8,29.1,3.37,23,0.0,0.0,77.2,103,47.6,54.4,9.6,3,2.8,5,4.6,5,7,14.1,2.68,34,0.0,0.0,84.0,124,64.5,73.4,6.0,0,0.0,0,0.0,0,1,4.1,2.25,29,0.0,0.0,83.7,79,84.8,92.4,4.3,0,0.0,0,0.0,0,0,-2.7,1.84,8,0.0,0.0,84.7
Devon Dampier,171556,QB,NEW MEXICO,12,391,435,71,35.2,39.4,12.6,19,21.8,4,4.6,4,1,31.6,3.36,23,0.0,0.0,64.7,105,55.2,61.0,7.7,1,0.9,3,2.6,3,5,12.7,2.67,16,0.0,0.0,84.1,161,70.8,78.9,5.6,0,0.0,2,1.2,4,6,5.4,2.08,19,0.0,0.0,86.5,32,87.5,87.5,5.0,0,0.0,0,0.0,1,0,-2.1,1.7,3,0.0,0.0,74.3
