player,player_id,team_name,player_game_count,accuracy_percent,attempts,avg_depth_of_target,big_time_throws,btt_rate,completion_percent,def_gen_pressures,dropbacks,drops,first_downs,grades_offense,grades_pass,grades_run,interceptions,passing_snaps,qb_rating,sack_percent,sacks,scrambles,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,td_int_ratio
Christian Veilleux,145086,GA STATE,10,70.0,293,9.6,11,3.5,57.3,88,310,21,101,63.6,60.4,69.4,11,330,78.3,3.2,10,7,13,15,4.5,2062,7.0,1.18
Eli Holstein,172381,PITTSBURGH,10,69.4,290,9.5,12,3.9,61.7,122,349,9,117,63.1,57.1,72.0,7,374,95.0,6.0,21,33,17,20,5.3,2226,7.7,2.43
Darian Mensah,169984,TULANE,13,75.7,287,11.3,17,5.6,65.9,108,337,17,131,82.1,81.4,62.7,6,356,113.3,5.3,18,32,22,16,4.5,2722,9.5,3.67
Hunter Watson,183993,SM HOUSTON,12,67.4,283,8.2,8,2.7,61.8,96,333,3,100,69.1,61.7,71.2,8,349,82.6,7.8,26,24,12,13,3.7,1808,6.4,1.5
Ethan Vasko,163817,COAST CAR,12,65.1,272,10.8,19,6.5,54.4,91,292,20,98,84.2,78.2,76.3,8,314,84.7,2.1,6,13,14,11,3.5,2113,7.8,1.75
Ashton Daniels,157259,STANFORD,11,73.2,272,9.2,9,3.1,62.5,132,332,10,101,71.7,65.5,71.2,12,357,74.1,6.0,20,40,10,16,4.5,1700,6.3,0.83
Haynes King,124329,GA TECH,11,82.3,271,6.1,8,2.8,72.3,60,285,9,104,85.9,81.0,74.4,2,301,108.8,2.8,8,6,14,3,1.0,2104,7.8,7.0
Davis Bryson,160369,KENNESAW,11,63.3,262,7.3,4,1.5,55.0,81,291,11,68,57.4,51.7,65.7,10,303,63.4,5.2,15,11,6,10,3.3,1495,5.7,0.6
Kaidon Salter,132046,LIBERTY,11,66.5,262,11.9,19,6.7,55.7,95,314,19,100,82.0,75.7,76.4,6,337,87.9,6.4,20,31,15,14,4.2,1875,7.2,2.5
Michael Van Buren Jr.,184764,MISS STATE,9,65.8,256,11.4,14,5.1,54.7,113,311,12,91,65.9,67.1,55.4,7,334,81.3,8.4,26,28,11,11,3.3,1885,7.4,1.57
Hajj-Malik Williams,102348,UNLV,12,66.0,254,11.2,15,5.6,59.1,102,336,13,118,76.7,67.3,78.3,5,352,99.9,8.0,27,55,19,13,3.7,1941,7.6,3.8
Kirk Francis,173296,TULSA,11,67.4,253,10.1,17,6.3,58.9,89,284,12,76,62.6,64.9,49.2,6,300,79.3,4.9,14,17,9,15,5.0,1587,6.3,1.5
Hudson Card,123109,PURDUE,10,72.1,250,9.4,8,3.0,57.6,123,285,16,84,73.3,72.0,63.8,7,300,77.8,7.0,20,15,9,9,3.0,1641,6.6,1.29
Ethan Hampton,145858,N ILLINOIS,11,71.0,249,8.2,5,1.9,57.8,93,291,13,88,70.3,65.0,74.0,6,305,83.1,5.2,15,27,12,12,3.9,1601,6.4,2.0
Katin Houser,158386,E CAROLINA,9,67.8,248,10.9,19,7.1,60.1,57,272,11,94,74.1,73.2,63.3,11,292,91.3,3.3,9,11,18,14,4.8,1993,8.0,1.64
Jackson Arnold,173684,OKLAHOMA,10,72.5,246,7.8,7,2.7,62.6,132,327,12,84,63.2,57.7,65.6,3,341,89.3,11.0,36,43,12,8,2.3,1410,5.7,4.0
Marcel Reed,175940,TEXAS A&M,10,67.8,243,10.2,8,3.1,60.5,96,299,9,103,68.3,64.6,67.1,6,310,94.8,4.3,13,43,15,10,3.2,1867,7.7,2.5
Taisun Phommachanh,99577,UMASS,9,67.8,235,9.9,8,3.1,56.2,96,288,13,78,62.7,62.7,59.4,6,310,78.0,7.6,22,30,8,9,2.9,1599,6.8,1.33
Skyler Locklear,164027,UTEP,10,72.9,234,8.9,14,5.7,63.7,96,280,7,72,67.9,65.7,61.2,6,293,87.0,5.0,14,30,10,11,3.8,1587,6.8,1.67
Evan Svoboda,157664,WYOMING,10,61.2,226,11.7,8,3.3,49.1,88,263,17,59,54.8,50.1,64.8,8,281,59.9,10.3,27,9,5,14,5.0,1318,5.8,0.62
Isaac Wilson,183872,UTAH,9,64.9,225,9.7,7,3.0,56.4,94,263,10,69,49.9,51.3,49.4,11,270,71.5,7.2,19,19,10,17,6.3,1506,6.7,0.91
Matthew Caldwell,150302,TROY,9,74.0,225,8.3,7,3.0,63.1,65,239,9,85,63.7,62.0,59.1,8,251,88.8,4.2,10,3,13,13,5.2,1601,7.1,1.62
Kyron Drones,144506,VA TECH,9,72.7,225,8.6,9,3.8,60.4,100,256,13,72,79.6,73.2,73.4,6,266,85.1,5.1,13,16,10,9,3.4,1561,6.9,1.67
Colton Joseph,172283,DOMINION,9,65.4,222,10.4,6,2.6,59.9,93,269,7,93,67.8,54.6,79.9,5,284,89.6,6.7,18,27,11,20,7.0,1625,7.3,2.2
Brock Vandagriff,146713,KENTUCKY,11,70.6,221,10.5,15,6.3,57.0,103,265,11,81,71.8,66.7,71.7,8,286,79.6,9.4,25,19,10,12,4.2,1594,7.2,1.25
Emmett Brown,157344,S JOSE ST,8,66.5,219,12.4,13,5.5,57.5,64,233,9,78,71.5,69.9,66.1,5,252,95.8,3.0,7,7,16,13,5.2,1625,7.4,3.2
Cam Fancher,145266,FAU,9,70.7,212,8.1,4,1.8,59.0,113,273,10,78,62.2,59.9,63.3,6,287,78.9,8.8,24,37,6,11,3.8,1529,7.2,1.0
Davis Warren,73940,MICHIGAN,9,74.2,210,6.5,6,2.8,64.3,70,228,9,68,72.1,70.9,59.4,9,235,72.6,3.9,9,8,7,9,3.8,1196,5.7,0.78
Joe Fagnano,104768,UCONN,10,71.1,207,9.2,7,3.2,58.0,67,222,15,72,68.9,68.9,57.0,4,235,107.4,2.7,6,9,20,4,1.7,1631,7.9,5.0
Braylon Braxton,144442,MARSHALL,11,69.6,207,10.4,12,5.5,59.9,64,238,9,83,81.2,77.6,70.9,2,251,111.4,3.8,9,21,19,8,3.2,1631,7.9,9.5
Gevani McCoy,147609,OREGON ST,9,67.0,204,8.4,7,3.2,61.3,76,246,7,74,68.7,66.7,63.0,6,262,72.4,6.1,15,27,3,7,2.7,1303,6.4,0.5
DeShawn Purdie,184271,CHARLOTTE,9,57.7,204,14.7,24,11.0,50.0,87,242,7,68,50.7,49.5,59.8,6,258,85.0,9.5,23,12,10,20,7.8,1822,8.9,1.67
DJ Lagway,184426,FLORIDA,12,68.1,196,11.8,18,8.8,58.7,74,225,9,74,67.0,72.9,46.1,9,233,93.0,5.8,13,16,12,7,3.0,1915,9.8,1.33
Aidan Armenta,175731,LA MONROE,11,66.9,191,11.0,10,5.0,53.9,75,226,18,57,71.6,67.4,71.7,10,237,69.0,7.1,16,12,9,13,5.5,1286,6.7,0.9
Jake Garcia,143941,E CAROLINA,6,70.4,182,11.1,12,6.2,59.9,70,208,10,70,68.1,63.2,72.8,12,220,71.7,7.2,15,11,8,17,7.7,1422,7.8,0.67
Nick Evers,158082,UCONN,9,67.6,182,9.4,7,3.7,53.8,64,210,17,52,60.9,61.6,57.4,5,218,65.8,5.7,12,16,5,8,3.7,925,5.1,1.0
Tommy Ulatowski,163150,KENT STATE,9,60.4,176,13.3,15,8.0,46.0,102,219,6,52,57.2,58.3,52.8,8,230,82.1,12.8,28,15,15,9,3.9,1358,7.7,1.88
Cade McNamara,101620,IOWA,8,68.9,173,7.1,6,3.3,60.1,52,185,9,56,67.1,66.9,50.0,5,193,76.2,4.3,8,4,6,5,2.6,1019,5.9,1.2
Jayden Maiava,158135,USC,5,69.7,169,9.2,9,5.1,59.8,61,177,7,60,81.6,76.0,80.9,6,184,88.4,2.8,5,3,11,8,4.3,1201,7.1,1.83
Nate Yarnell,144037,PITTSBURGH,8,69.2,168,10.0,7,3.9,58.3,83,202,10,64,72.6,72.9,60.6,5,216,84.3,8.4,17,15,10,9,4.2,1056,6.3,2.0
Tate Rodemaker,122414,SO MISS,8,69.8,166,7.1,4,2.3,59.6,73,185,5,43,56.2,54.6,57.2,7,195,72.9,7.6,14,5,7,10,5.1,983,5.9,1.0
Grayson James,145214,BOSTON COL,6,76.0,166,9.4,7,3.9,63.9,79,195,5,66,68.9,64.8,68.9,2,207,92.5,6.2,12,15,6,9,4.3,1203,7.2,3.0
Parker Awad,183974,NEW MEX ST,7,62.7,164,11.1,8,4.5,46.3,73,197,13,56,59.6,49.6,77.3,4,210,72.7,8.6,17,14,7,11,5.2,1099,6.7,1.75
Cooper Legas,101286,TULSA,9,61.2,162,11.4,14,8.1,53.7,80,182,3,48,60.5,56.3,65.3,6,195,85.5,6.0,11,9,12,10,5.1,1144,7.1,2.0
Thomas Castellanos,158433,BOSTON COL,8,67.3,161,10.9,6,3.6,61.5,67,202,4,64,66.3,74.8,50.9,5,208,113.0,8.9,18,22,18,7,3.4,1366,8.5,3.6
Joe Labas,144847,C MICHIGAN,6,70.3,161,9.2,6,3.5,58.4,56,178,10,51,64.3,65.7,52.8,7,190,75.9,4.5,8,9,7,10,5.3,1114,6.9,1.0
DJ Uiagalelei,122162,FLORIDA ST,5,70.1,158,10.8,6,3.7,52.5,76,179,13,51,71.2,72.5,56.3,6,186,66.5,5.6,10,11,4,5,2.7,1061,6.7,0.67
Zach Gibson,100201,GA STATE,6,78.7,151,6.2,4,2.5,67.5,70,183,9,54,73.8,73.5,63.0,2,195,96.0,7.7,14,18,7,4,2.1,1005,6.7,3.5
Blake Horvath,162555,NAVY,12,63.1,139,12.5,5,3.4,57.6,61,164,2,55,84.8,59.8,90.6,4,173,109.8,6.7,11,13,13,12,6.9,1353,9.7,3.25
Donovan Smith,73929,HOUSTON,7,73.8,134,6.5,2,1.4,64.2,58,164,4,40,60.5,53.0,70.6,8,177,67.4,9.8,16,13,4,7,4.0,862,6.4,0.5
