player,player_id,attempts_rushing,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,designed_yards,elu_yco,elusive_rating,explosive,first_downs_rushing,fumbles,longest,run_plays,scramble_yards,total_touches,touchdowns_rushing,yards_rushing,yards_after_contact,ypa_rushing,yprr
Joe Fagnano,104768,27,2,1,19.6,19,60,37,22.8,2,6,3,19,210,37,18,1,97,50,3.6,0.0
Tayven Jackson,157615,26,4,1,31.4,16,39,25,13.0,3,7,1,16,111,12,24,3,51,25,2.0,
Bert Emanuel Jr.,158581,26,3,4,49.6,70,139,63,32.8,5,7,1,20,37,2,24,3,141,67,5.4,
William Watson III,174771,26,4,0,0.0,0,71,36,14.1,3,10,2,15,81,57,16,1,128,77,4.9,
Kadin Semonza,174001,25,1,1,36.3,53,64,61,50.8,3,6,7,53,312,82,12,1,146,89,5.8,0.0
Garrett Nussmeier,146757,25,1,0,0.0,0,9,5,0.0,4,11,5,14,331,84,13,3,93,29,3.7,
Blake Shapen,122282,25,2,0,0.0,0,10,7,0.0,3,4,6,18,98,86,7,2,96,70,3.8,
Mikey Keene,70961,25,0,0,0.0,0,-11,5,0.0,1,3,6,14,279,33,16,0,22,14,0.9,0.0
Spencer Petras,82136,24,4,0,0.0,0,35,16,9.5,0,4,2,9,225,43,13,1,78,50,3.3,
Brock Glenn,170335,24,4,1,11.3,17,61,30,24.8,6,5,3,17,74,90,11,0,151,126,6.3,
Broc Lowry,173383,24,9,1,28.6,40,137,78,145.0,4,7,0,40,38,3,22,3,140,82,5.8,
Jalen Kitna,146688,24,2,1,20.6,21,9,9,0.0,3,4,7,21,166,93,9,0,102,42,4.3,-3.0
Jake Garcia,143941,24,5,0,0.0,0,43,14,0.0,3,10,5,19,162,85,13,2,128,59,5.3,
Christian Veilleux,145086,24,5,3,37.1,56,83,46,31.8,7,9,3,23,206,68,17,1,151,71,6.3,
Heinrich Haarberg,144993,24,0,0,0.0,0,95,44,0.0,4,7,0,13,66,10,25,1,105,44,4.4,0.64
E.J. Warner,156185,23,1,0,0.0,0,17,6,0.0,2,5,5,11,226,64,11,1,81,44,3.5,0.0
Logan Smothers,129713,23,2,3,57.1,104,175,38,17.2,6,10,1,72,65,7,21,3,182,45,7.9,
Kaden Anderson,127312,23,1,1,44.4,24,51,17,3.9,1,4,1,24,141,3,21,2,54,19,2.3,
Brandon Nunez,183978,23,3,1,16.3,15,86,54,36.7,1,8,1,15,86,6,21,2,92,59,4.0,
Emmett Brown,157344,23,5,0,0.0,0,7,16,18.8,0,1,8,8,126,26,16,1,33,24,1.4,0.0
Max Brown,157756,23,6,1,14.9,20,51,44,163.0,5,5,2,20,75,83,9,0,134,72,5.8,
Gabarri Johnson,175905,23,11,3,35.8,48,74,47,104.4,7,7,2,23,47,60,15,1,134,80,5.8,
Dylan Rizk,174360,22,3,0,0.0,0,55,14,0.0,3,7,3,33,120,77,14,0,132,31,6.0,0.0
Forrest Brock,173260,22,4,0,0.0,0,50,32,35.5,3,2,4,12,72,14,19,1,64,59,2.9,
Jeff Sims,122496,22,7,0,0.0,0,86,61,166.8,3,9,0,12,66,29,16,1,115,65,5.2,
Brad Jackson,184354,22,4,3,31.7,52,144,74,61.5,9,12,0,18,44,20,19,4,164,87,7.5,
Arch Manning,173162,21,3,2,56.2,82,88,83,57.4,4,8,4,67,126,58,17,4,146,149,7.0,
Lucian Anderson III,173364,21,4,1,31.1,19,51,50,41.6,4,5,0,19,40,10,19,2,61,75,2.9,
Maalik Murphy,157302,20,1,0,0.0,0,-30,12,3.7,0,2,2,8,340,10,18,2,-20,21,-1.0,
Mike Wright,124366,20,3,3,67.1,55,38,7,3.6,6,7,2,20,70,44,14,1,82,23,4.1,
Conner Weigman,158683,20,5,0,0.0,0,6,4,0.0,4,6,0,18,141,135,4,0,141,68,7.1,
Kirk Francis,173296,20,1,0,0.0,0,2,1,0.0,3,4,4,15,174,76,3,0,78,42,3.9,0.0
Alan Bowman,77679,20,0,0,0.0,0,25,13,0.0,1,3,1,12,259,4,20,0,29,14,1.5,14.0
Tony Muskett,142933,20,6,2,22.6,33,85,47,95.9,7,12,1,18,58,61,14,4,146,56,7.3,
MJ Morris,157404,19,3,0,0.0,0,45,32,32.7,1,3,1,14,50,21,14,1,66,45,3.5,
Tyriq Starks,156514,19,7,0,0.0,0,46,37,185.0,3,5,1,12,95,61,10,0,107,77,5.6,
Ahmad Haston,173396,19,2,3,52.0,89,152,63,49.2,4,6,0,38,65,19,16,1,171,67,9.0,
Jayden Maiava,158135,19,6,0,0.0,0,65,21,23.2,3,10,3,13,131,19,17,4,84,53,4.4,-3.0
Micah Alejado,184162,19,2,1,24.4,19,39,17,34.0,1,2,0,19,29,39,10,0,78,26,4.1,
Graham Mertz,97994,18,1,0,0.0,0,3,1,0.0,3,9,3,16,82,68,9,1,71,29,3.9,
Ruel Tomlinson,188241,18,1,0,0.0,0,28,13,0.0,2,3,1,13,46,26,7,0,54,41,3.0,0.0
Julian Dugger,183269,18,5,1,14.8,17,85,39,52.0,3,9,2,20,35,30,15,1,115,78,6.4,0.0
AJ Hairston,184157,18,2,0,0.0,0,5,8,0.0,1,5,3,10,76,38,9,1,43,35,2.4,
Nate Yarnell,144037,18,4,0,0.0,0,2,6,50.0,3,6,6,11,76,85,4,0,87,58,4.8,
Will Rogers,124184,18,4,0,0.0,0,-17,0,0.0,2,2,8,20,210,72,8,0,55,60,3.1,0.0
Dequan Finn,97804,17,2,2,60.3,73,114,14,6.2,4,5,3,39,78,7,15,2,121,29,7.1,0.0
DeShawn Purdie,184271,17,7,0,0.0,0,-11,1,4.0,5,6,8,19,179,92,5,1,81,70,4.8,
Goose Crowder,144781,16,3,0,0.0,0,1,11,44.0,4,5,0,12,72,66,5,1,67,37,4.2,
Hunter Herring,147138,16,4,3,74.1,86,116,115,179.7,3,11,0,44,21,0,16,2,116,115,7.3,
Ryan Burger,157544,16,4,0,0.0,0,16,12,16.7,1,2,2,57,44,67,12,1,83,61,5.2,
Jack Turner,162969,16,1,0,0.0,0,-2,14,7.1,1,3,4,10,57,10,14,0,8,17,0.5,
Blake Baker,170448,16,1,0,0.0,0,12,10,6.9,1,2,0,21,49,25,12,1,37,19,2.3,
JC Evans,184302,15,0,1,33.8,27,80,25,0.0,1,4,0,27,21,0,15,1,80,25,5.3,0.0
Grant Wilson,143041,15,4,0,0.0,0,20,6,12.2,2,6,4,36,70,86,7,1,106,64,7.1,
JD Sherrod,172365,15,1,1,46.9,30,64,48,24.5,1,2,1,30,27,0,14,0,64,49,4.3,
Timmy McClain,144488,15,5,1,29.0,18,51,11,18.2,2,3,1,18,34,11,11,1,62,27,4.1,
Dexter Williams II,129457,15,4,1,42.9,18,20,31,64.6,2,4,2,20,31,22,12,1,42,71,2.8,0.0
Josh Johnson,186429,15,4,2,59.4,57,62,53,131.4,3,4,2,42,30,34,11,0,96,59,6.4,
Keldric Luster,175287,15,3,0,0.0,0,17,21,0.0,3,4,1,17,31,33,13,0,50,49,3.3,
Hauss Hejny,183824,15,3,1,32.3,21,57,22,22.4,1,3,0,21,17,8,14,0,65,32,4.3,
Will Hammond,184898,15,1,0,0.0,0,31,17,21.0,2,7,2,12,79,33,9,2,64,21,4.3,0.0
Braedyn Locke,157141,15,1,0,0.0,0,25,17,17.0,2,7,6,11,310,30,10,2,55,26,3.7,
Grayson McCall,98002,15,5,0,0.0,0,19,6,24.0,3,3,3,12,57,51,5,0,70,55,4.7,
CJ Harris,130594,14,2,0,0.0,0,48,12,12.0,3,5,0,13,31,26,10,0,74,29,5.3,
Gerry Bohanon,77636,14,2,0,0.0,0,18,29,29.6,1,2,0,11,26,0,14,0,18,29,1.3,
Drew Mestemaker,190616,14,4,1,66.7,70,71,69,171.1,2,4,2,70,51,34,11,1,105,101,7.5,0.0
Conner Harrell,156352,14,3,1,22.2,16,45,17,28.1,4,5,3,16,69,27,11,1,72,24,5.1,
Maealiuaki Smith,183921,14,1,0,0.0,0,36,20,10.2,1,3,4,13,45,0,14,1,36,20,2.6,
Jadyn Glasser,184670,14,0,0,0.0,0,8,11,0.0,0,3,3,6,117,10,11,1,18,17,1.3,
Gunner Stockton,157072,14,1,0,0.0,0,40,22,22.0,0,3,3,9,65,11,10,0,51,28,3.6,
Davis Warren,73940,13,1,0,0.0,0,-8,0,0.0,2,2,2,13,232,44,5,0,36,27,2.8,0.0
Joe Labas,144847,13,1,0,0.0,0,23,8,50.0,2,5,1,13,133,51,4,0,74,32,5.7,0.0
